,GHI
0,1809.802
1,1784.422
2,1770.251
3,1817.1550000000002
4,1915.541
5,1915.1979999999999
6,1800.048
7,1832.7459999999999
8,1941.1670000000001
9,1920.798
10,1855.1779999999999
11,2054.849
12,1822.3359999999998
13,2032.8809999999999
14,1914.83
15,1990.247
16,1946.2440000000001
17,1773.084
18,2079.083
19,2198.284
20,1827.4990000000003
21,1942.1719999999998
22,1866.293
23,1964.997
24,1923.7930000000001
25,2130.037
26,1778.695
27,1790.724
28,1820.608
29,1758.3020000000001
30,1772.663
31,1989.2390000000003
32,1780.7250000000001
33,1780.566
34,2133.791
35,1776.079
36,2051.6380000000004
37,1979.326
38,1776.4430000000002
39,2037.559
40,2017.781
41,1950.905
42,1916.883
43,1911.398
44,2034.702
45,1854.983
46,1782.3550000000002
47,1896.265
48,1925.856
49,2051.672
50,1845.912
51,1948.258
52,1778.0720000000001
53,1951.032
54,1927.1770000000001
55,2013.622
56,2117.014
57,1789.741
58,1904.2559999999999
59,1786.64
60,1921.3519999999999
61,1849.755
62,1848.3619999999999
63,1804.044
64,2153.929
65,1773.039
66,1773.75
67,1817.914
68,1774.154
69,2050.2360000000003
70,1818.5510000000002
71,2000.732
72,1864.7720000000002
73,1800.9889999999998
74,2047.3270000000002
75,1979.997
76,1785.536
77,1797.9420000000002
78,1775.412
79,1988.103
80,1955.7589999999998
81,1793.119
82,1948.532
83,1906.873
84,2055.27
85,2242.025
86,1842.549
87,1859.6109999999999
88,1902.921
89,1822.944
90,1817.5520000000001
91,1932.1820000000002
92,1774.6419999999998
93,1770.8890000000001
94,1796.586
95,1815.737
96,1822.162
97,1934.362
98,1757.355
99,1801.1180000000002
100,1785.2089999999998
101,1970.781
102,1786.291
103,1910.92
104,1906.569
105,1978.2730000000001
106,1974.573
107,1857.979
108,1817.6000000000001
109,2116.025
